,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
475,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,944.61,54.67,0.70,34.53,1.29,3.38,5.84,57.83,118.68,42170000000.0,52640000000.0,19.38,0.59,0.87,18.89,60740000000.0,9360000000.0,2800000000.0,785470000.0,1.52,148.80,41.20,1370000000.0,2.71,11840000000.0,1.33,2.41,1340000000.0,493260000.0,1.27,0.10,83.51,13250000.0,4.6,2.61,11620000.0,N/A
476,N/A,N/A,t,N/A,N/A,N/A,N/A,N/A,113.49,8.69,1.02,1.03,11.89,21.85,4.28,11.83,23.56,171840000000.0,350630000000.0,7.69,1.93,2.08,6.18,168860000000.0,89060000000.0,56750000000.0,19870000000.0,2.76,N/A,10.40,21210000000.0,2.97,208660000000.0,0.70,23.29,41960000000.0,35850000000.0,0.65,0.12,54.82,73270000.0,1.66,1.03,76140000.0,N/A
477,N/A,N/A,tap,N/A,N/A,N/A,N/A,N/A,54.64,11.70,1.14,0.87,9.78,15.03,3.52,7.67,47.35,11740000000.0,18310000000.0,13.64,3.20,1.78,8.01,10280000000.0,4050000000.0,2320000000.0,1010000000.0,4.62,N/A,14.20,637400000.0,2.94,7470000000.0,0.77,61.83,1570000000.0,796920000.0,0.95,0.56,89.79,11380000.0,5.2,7.97,11620000.0,N/A
478,N/A,N/A,tdc,N/A,N/A,N/A,N/A,N/A,126.96,38.97,2.98,11.52,7.67,12.52,6.88,34.19,17.65,5300000000.0,5280000000.0,27.17,3.54,2.75,14.39,1920000000.0,1200000000.0,383000000.0,147000000.0,1.30,560.00,3.30,592000000.0,5.58,584000000.0,1.07,4.29,463000000.0,402750000.0,1.04,1.18,104.25,11510000.0,13.38,14.63,12470000.0,N/A
479,N/A,N/A,te,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
480,N/A,N/A,teg,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
481,N/A,N/A,tel,N/A,N/A,N/A,N/A,N/A,36.39,18.60,2.99,4.05,16.07,18.34,8.37,23.19,46.26,44580000000.0,47600000000.0,19.34,2.01,3.13,13.78,15220000000.0,4890000000.0,3570000000.0,2450000000.0,7.36,48.60,8.40,990000000.0,3.04,4050000000.0,1.70,33.78,2570000000.0,1400000000.0,1.35,0.21,93.95,3620000.0,1.76,1.11,4550000.0,N/A
482,N/A,N/A,ter,N/A,N/A,N/A,N/A,N/A,7.20,22.67,6.22,7.94,27.40,32.30,20.04,42.54,22.45,20360000000.0,19180000000.0,26.18,2.43,5.18,14.71,3700000000.0,2210000000.0,1320000000.0,1010000000.0,5.53,14.10,16.60,1370000000.0,8.41,184580000.0,3.20,15.79,1100000000.0,663340000.0,1.50,0.35,101.12,3740000.0,2.21,2.62,5780000.0,N/A
483,N/A,N/A,tgt,N/A,N/A,N/A,N/A,N/A,128.38,15.81,1.04,8.04,6.55,8.55,10.78,50.95,217.18,103090000000.0,113570000000.0,15.27,1.71,1.07,9.49,106000000000.0,31040000000.0,11700000000.0,6950000000.0,14.10,11.90,9.40,5930000000.0,12.82,16469999999.999998,0.99,27.22,8630000000.0,3890000000.0,1.06,0.18,83.92,14260000.0,2.94,3.09,9590000.0,N/A
484,N/A,N/A,thc,N/A,N/A,N/A,N/A,N/A,393.96,10.76,0.51,9.64,4.69,13.15,5.86,41.34,182.39,9910000000.0,23190000000.0,13.35,1.92,1.19,6.33,19480000000.0,7270000000.0,3420000000.0,915000000.0,8.42,39.90,1.20,2360000000.0,22.01,16770000000.0,1.38,9.59,1570000000.0,1560000000.0,2.45,1.33,96.00,4910000.0,4.21,7.39,4540000.0,N/A
